year,month,MLconc
1969,8,322.51
1969,9,321.36
1969,10,320.74
1969,11,321.98
1969,12,323.78
1970,1,325.13
1970,2,325.54
1970,3,325.68
1970,4,326.58
1970,5,327.68
1970,6,327.3
1970,7,326.13
1970,8,324.91
1970,9,322.98
1970,10,322.64
1970,11,324.03
1970,12,325.54
1976,7,332.3
1976,8,331.04
1976,9,329.67
1976,10,329.33
1976,11,330.46
1976,12,331.97
1977,1,332.77
1977,2,333.1
1977,3,334.08
1977,4,335.78
1977,5,336.49
1977,6,335.96
1977,7,334.64
1977,8,332.31
1977,9,330.66
1977,10,330.55
1977,11,331.72
1977,12,333.74
1978,1,335.17
1978,2,335.78
1978,3,336.69
1978,4,337.76
1978,5,338.01
1978,6,337.57
1978,7,336.17
1978,8,333.89
1978,9,332.19
1978,10,332.2
1978,11,333.24
1978,12,334.64
1979,1,336.12
1979,2,337.2
1979,3,338.5
1979,4,339
1979,5,338.93
1979,6,338.97
1979,7,337.78
1979,8,335.57
1979,9,333.95
1979,10,334.41
1979,11,335.66
1979,12,336.81
1980,1,338.87
1980,2,340.17
1980,3,341.33
1980,4,342.82
1980,5,342.9
1980,6,341.74
1980,7,339.16
1980,8,337.04
1980,9,336.6
1980,10,336.6
1980,11,337.55
1980,12,339.18
1981,1,340.41
1981,2,341.39
1981,3,342.33
1981,4,343.35
1981,5,343.56
1981,6,342.34
1981,7,340.4
1981,8,338.67
1981,9,337.37
1981,10,337.53
1981,11,338.88
1981,12,340.21
1982,1,341.1
1982,2,341.99
1982,3,343.03
1982,4,343.82
1982,5,343.76
1982,6,342.87
1982,7,341.47
1982,8,339.26
1982,9,337.33
1982,10,337.64
1982,11,339.03
1982,12,340.66
1983,1,341.96
1983,2,342.37
1983,3,343.11
1983,4,345.12
1983,5,346.09
1983,6,345.3
1983,7,343.53
1983,8,341.2
1983,9,339.78
1983,10,339.98
1983,11,341.14
1983,12,342.73
1984,1,343.94
1984,2,344.59
1984,3,345.52
1984,4,346.81
1984,5,347.38
1984,6,346.62
1984,7,345.1
