year,month,Spconc
1975,7,329.39
1975,8,329.86
1975,9,330.05
1975,10,330.27
1975,11,330.47
1975,12,330.08
1976,1,329.46
1976,2,329.22
1976,3,329.18
1976,4,329.37
1976,5,329.61
1976,6,329.78
1976,7,330.16
1976,8,330.69
1976,9,331.16
1976,10,331.52
1976,11,331.49
1976,12,331.07
1977,1,330.84
1977,2,330.86
1977,3,330.71
1977,4,330.52
1977,5,330.66
1977,6,331
1977,7,331.55
1977,8,332.48
1977,9,333
1977,10,332.81
1977,11,332.48
1977,12,332.38
1978,1,332.46
1978,2,332.34
1978,3,332.27
1978,4,332.6
1978,5,333.14
1978,6,333.48
1978,7,333.85
1978,8,334.38
1978,9,334.83
1978,10,335.33
1978,11,335.28
1978,12,334.81
1979,1,334.36
1979,2,333.89
1979,3,333.64
1979,4,333.82
1979,5,334.21
1979,6,334.43
1979,7,334.98
1979,8,335.56
1979,9,335.59
1979,10,335.59
1979,11,335.64
1979,12,335.79
1981,7,339.1
1981,8,339.45
1981,9,339.45
1981,10,339.39
1981,11,339.31
1981,12,339.02
1982,1,338.83
1982,2,338.71
1982,3,338.65
1982,4,338.93
1982,5,339.15
1982,6,339.25
1982,7,339.56
1982,8,340.02
1982,9,340.32
1982,10,340.37
1982,11,340.2
1982,12,339.98
1983,1,339.87
1983,2,339.72
1983,3,339.7
1983,4,340.14
1983,5,340.62
1983,6,340.84
1983,7,341.17
1983,8,341.72
1983,9,342.01
1983,10,342.04
1983,11,341.99
1983,12,341.87
1984,1,341.75
1984,2,341.69
1984,3,341.62
1984,4,341.6
1984,5,341.72
1984,6,341.95
1984,7,342.37
1984,8,342.86
1984,9,343.16
1984,10,343.23
1984,11,343.12
1984,12,343.01
1985,1,342.99
1985,2,343.07
1985,3,342.97
1985,4,342.98
1985,5,343.26
1985,6,343.5
1985,7,344.01
1985,8,344.56
1985,9,344.72
1985,10,344.79
1985,11,344.77
1985,12,344.66
1986,1,344.56
1986,2,344.34
1986,3,344.27
1986,4,344.41
1986,5,344.61
1986,6,344.87
1986,7,345.22
1986,8,345.75
1986,9,346.07
1986,10,346.05
1986,11,345.98
1986,12,345.91
1987,1,345.9
1987,2,345.9
1987,3,346
1987,4,346.19
1987,5,346.35
1987,6,346.8
1987,7,347.32
1987,8,347.75
1987,9,348.22
1987,10,348.42
1987,11,348.44
1987,12,348.46
1988,1,348.35
1988,2,348.15
1988,3,348.25
1988,4,348.51
1988,5,348.66
1988,6,348.96
1988,7,349.36
1988,8,349.79
1988,9,350.06
1988,10,350.17
1988,11,350.16
1988,12,350.09
1989,1,350.16
1989,2,350.09
1989,3,350.05
1989,4,350.14
1989,5,350.27
1989,6,350.54
1989,7,350.97
1989,8,351.43
1989,9,351.63
1989,10,351.77
1989,11,352.04
1989,12,351.88
1990,1,351.33
1990,2,351.03
1990,3,350.93
1990,4,351.16
1990,5,351.64
1990,6,351.86
1990,7,352.19
1990,8,352.61
1990,9,352.79
1990,10,352.93
1990,11,352.9
1990,12,352.79
1991,1,352.72
1991,2,352.47
1991,3,352.43
1991,4,352.75
1991,5,352.87
1991,6,353.08
1991,7,353.63
