year,month,OKconc
2002,4,377.55
2002,5,374.78
2002,6,374.24
2002,7,372.72
2002,8,368.48
2002,9,370.24
2002,10,376.32
2002,11,378.05
2002,12,381.28
2003,1,385.29
2003,2,386.4
2003,3,384.02
2003,4,378.46
2003,5,375.97
2003,6,374.86
2003,7,374.61
2003,8,374.62
2003,9,374.07
2003,10,374.03
2003,11,377.21
2003,12,380.96
2004,1,380.24
2004,2,381.52
2004,3,381.67
2004,4,378.35
2004,5,378.6
2004,6,379.3
2004,7,375.66
2004,8,372.22
2004,9,373.8
2004,10,377.68
2004,11,380.72
2004,12,381.7
2005,1,382.56
2005,2,383.47
2005,3,382.72
2005,4,381.47
2005,5,382.27
2005,6,379.04
2005,7,375.06
2005,8,377.91
2005,9,379.9
2005,10,380.64
2005,11,383.66
2005,12,384.42
2006,1,384.86
2006,2,388.03
2006,3,388.43
2006,4,387.49
2006,5,386.17
2006,6,379.4
2006,7,378.52
2006,8,383.06
2006,9,380.82
2006,10,384.29
2006,11,390.18
2006,12,389.87
2007,1,390.38
2007,2,391.2
2007,3,388.85
2007,4,388.13
2007,5,387.18
2007,6,384.31
2007,7,383.91
2007,8,383.51
2007,9,383.12
2007,10,384.59
2007,11,388.96
2007,12,391.64
2008,1,391.55
2008,2,393.36
2008,3,393.88
2008,4,390
2008,5,386.53
2008,6,383.55
2008,7,382.54
2008,8,382.13
2008,9,379.96
2008,10,385.02
2008,11,391.75
2008,12,395.89
2009,1,394.62
2009,2,394.04
2009,3,394.93
2009,4,393.58
2009,5,391.8
2009,6,392.66
2009,7,396.2
2009,8,390.47
2009,9,384.5
2009,10,390.97
2009,11,394.02
2009,12,397.38
2010,1,403.6
2010,2,402.03
2010,3,396.87
2010,4,393.72
2010,5,391.82
2010,6,388.47
2010,7,387.7
2010,8,393.33
2010,9,393.26
2010,10,391.95
2010,11,397.68
2010,12,401.6
2011,1,400.78
2011,2,400.15
2011,3,399.48
2011,4,398.67
2011,5,394.28
2011,6,391.05
2011,7,395.51
2011,8,394.12
2011,9,386.89
2011,10,389.84
2011,11,396.67
2011,12,397.88
2012,1,398.14
2012,2,398.9
2012,3,395.33
2012,4,391.71
2012,5,394.05
2012,6,396.14
2012,7,394.25
2012,8,393.85
2012,9,396.56
2012,10,398.86
2012,11,400.42
2012,12,403.46
2013,1,404.18
2013,2,404.57
2013,3,403.97
2013,4,400.54
2013,5,398.99
2013,6,397.66
2013,7,394.72
2013,8,392.39
2013,9,394.34
2013,10,398.53
2013,11,402.01
2013,12,404.76
2014,1,404.58
2014,2,403.73
2014,3,404.6
2014,4,404.38
2014,5,403.47
2014,6,400.93
2014,7,392.03
2014,8,389.3
2014,9,394.8
2014,10,399.15
2014,11,406.14
2014,12,411.51
2015,1,407.7
2015,2,407.59
2015,3,409.55
2015,4,405.32
2015,5,402.03
2015,6,402.27
2015,7,399.92
2015,8,395.86
2015,9,399.36
2015,10,405.74
2015,11,407.21
2015,12,408.95
2016,1,410.55
2016,2,409.5
2016,3,407.59
2016,4,405.56
2016,5,404.07
2016,6,405.16
2016,7,405.24
2016,8,402.74
2016,9,403.33
2016,10,407.54
2016,11,411.08
2016,12,412.2
